plate	cycle	well	tile
1	3	A2	29
1	4	A2	29
1	5	A2	29
1	6	A2	29
1	7	A2	29
1	8	A2	29
1	9	A2	29
1	10	A2	29
1	11	A2	29
1	12	A2	29
1	1	A2	30
1	2	A2	30
1	3	A2	30
1	4	A2	30
1	5	A2	30
1	6	A2	30
1	7	A2	30
1	8	A2	30
1	9	A2	30
1	10	A2	30
1	11	A2	30
1	12	A2	30
1	1	A2	31
1	2	A2	31
1	3	A2	31
1	4	A2	31
1	5	A2	31
1	6	A2	31
1	7	A2	31
1	8	A2	31
1	9	A2	31
1	10	A2	31
1	11	A2	31
1	12	A2	31
1	1	A2	32
1	2	A2	32
1	3	A2	32
1	4	A2	32
1	5	A2	32
1	6	A2	32
1	7	A2	32
1	8	A2	32
1	9	A2	32
1	10	A2	32
1	11	A2	32
1	12	A2	32
1	1	A2	33
1	2	A2	33
1	3	A2	33
1	4	A2	33
1	5	A2	33
1	6	A2	33
1	7	A2	33
1	8	A2	33
1	9	A2	33
1	10	A2	33
1	11	A2	33
1	12	A2	33
1	1	A2	34
1	2	A2	34
1	3	A2	34
1	4	A2	34
1	5	A2	34
1	6	A2	34
1	7	A2	34
1	8	A2	34
1	9	A2	34
1	10	A2	34
1	11	A2	34
1	12	A2	34
1	1	A2	35
1	2	A2	35
1	3	A2	35
1	4	A2	35
1	5	A2	35
1	6	A2	35
1	7	A2	35
1	8	A2	35
1	9	A2	35
1	10	A2	35
1	11	A2	35
1	12	A2	35
1	1	A2	36
1	2	A2	36
1	3	A2	36
1	4	A2	36
1	5	A2	36
1	6	A2	36
1	7	A2	36
1	8	A2	36
1	9	A2	36
1	10	A2	36
1	11	A2	36
1	12	A2	36
1	1	A2	37
1	2	A2	37
1	3	A2	37
1	4	A2	37
1	5	A2	37
1	6	A2	37
1	7	A2	37
1	8	A2	37
1	9	A2	37
1	10	A2	37
1	11	A2	37
1	12	A2	37
1	1	A2	38
1	2	A2	38
1	3	A2	38
1	4	A2	38
1	5	A2	38
1	6	A2	38
1	7	A2	38
1	8	A2	38
1	9	A2	38
1	10	A2	38
1	11	A2	38
1	12	A2	38
1	1	A2	39
1	2	A2	39
1	3	A2	39
1	4	A2	39
1	5	A2	39
1	6	A2	39
1	7	A2	39
1	8	A2	39
1	9	A2	39
1	10	A2	39
1	11	A2	39
1	12	A2	39
1	1	A2	40
1	2	A2	40
1	3	A2	40
1	4	A2	40
1	5	A2	40
1	6	A2	40
1	7	A2	40
1	8	A2	40
1	9	A2	40
1	10	A2	40
1	11	A2	40
1	12	A2	40
1	1	A2	41
1	2	A2	41
1	3	A2	41
1	4	A2	41
1	5	A2	41
1	6	A2	41
1	7	A2	41
1	8	A2	41
1	9	A2	41
1	10	A2	41
1	11	A2	41
1	12	A2	41
1	1	A2	42
1	2	A2	42
1	3	A2	42
1	4	A2	42
1	5	A2	42
1	6	A2	42
1	7	A2	42
1	8	A2	42
1	9	A2	42
1	10	A2	42
1	11	A2	42
1	12	A2	42
1	1	A2	43
1	2	A2	43
1	3	A2	43
1	4	A2	43
1	5	A2	43
1	6	A2	43
1	7	A2	43
1	8	A2	43
1	9	A2	43
1	10	A2	43
1	11	A2	43
1	12	A2	43
1	1	A2	44
1	2	A2	44
